        Vehicle ID:	p1B3CC4FB0AN22533
    Current Status:	s
      Max. Payload:	1.9 tons

        Vehicle ID:	c1G1PC5SB6D717148
        Make/Model:	Chevrolet Silverado 3500
   Last Inspection:	2017/7/10
    Current Status:	s
      Max. Payload:	2.88 tons

        Vehicle ID:	p1G1PC5SB6D717510
        Make/Model:	Ford  XL Passenger
   Last Inspection:	2007/4/22
    Current Status:	s
   Max. Passengers:	15

        Vehicle ID:	c1G1PC5SB6E715501
        Make/Model:	Ford  F 250
   Last Inspection:	2016/5/2
    Current Status:	a
      Max. Payload:	1.9 tons

        Vehicle ID:	p1G1PC5SB6E716580
        Make/Model:	Ford  XL Passenger
   Last Inspection:	2009/4/11
    Current Status:	s
   Max. Passengers:	15

        Vehicle ID:	c1G1PC5SB6E721616
        Make/Model:	Dodge Ram 2500
   Last Inspection:	2007/11/17
    Current Status:	a
      Max. Payload:	1.53 tons

        Vehicle ID:	p1G1PC5SB6E732279
        Make/Model:	Ford  XL Passenger
   Last Inspection:	2014/7/25
    Current Status:	s
   Max. Passengers:	15

        Vehicle ID:	i1G1PC5SB6F714726
        Make/Model:	Ford  EcoSport
   Last Inspection:	2017/9/3
    Current Status:	s

        Vehicle ID:	i1G1PC5SB6F721544
        Make/Model:	Dodge Challenger
   Last Inspection:	2015/2/18
    Current Status:	a

        Vehicle ID:	i1G1PC5SB6F724793
        Make/Model:	Chevrolet Impala
   Last Inspection:	2010/3/25
    Current Status:	a

        Vehicle ID:	c1G1PC5SB6F727426
        Make/Model:	Chevrolet Silverado 3500
   Last Inspection:	2015/3/27
    Current Status:	s
      Max. Payload:	2.88 tons

        Vehicle ID:	p1G1PC5SB7D712897
        Make/Model:	Dodge Grand Caravan
   Last Inspection:	2009/7/2
    Current Status:	s
   Max. Passengers:	7

        Vehicle ID:	p1G1PC5SB7D714200
        Make/Model:	Dodge Grand Caravan
   Last Inspection:	2017/10/20
    Current Status:	m
   Max. Passengers:	7

        Vehicle ID:	i1G1PC5SB7D716418
        Make/Model:	Chevrolet Impala
   Last Inspection:	2013/6/25
    Current Status:	s

        Vehicle ID:	p1G1PC5SB7E711440
        Make/Model:	Dodge Grand Caravan
   Last Inspection:	2007/9/11
    Current Status:	a
   Max. Passengers:	7

        Vehicle ID:	c1G1PC5SB7E731087
        Make/Model:	Dodge Ram 3500
   Last Inspection:	2010/11/9
    Current Status:	s
      Max. Payload:	2.04 tons

        Vehicle ID:	c1G1PC5SB7E744803
        Make/Model:	Dodge Ram 2500
   Last Inspection:	2013/1/1
    Current Status:	s
      Max. Payload:	1.53 tons

        Vehicle ID:	i1G1PC5SB7F720697
        Make/Model:	Chevrolet Impala
   Last Inspection:	2012/2/17
    Current Status:	s

        Vehicle ID:	c1G1PC5SB8D714681
        Make/Model:	Dodge Ram 2500
   Last Inspection:	2013/1/15
    Current Status:	s
      Max. Payload:	1.53 tons

        Vehicle ID:	p1G1PC5SB8D721032
        Make/Model:	Freightliner CT Coachworks
   Last Inspection:	2011/4/4
    Current Status:	a
   Max. Passengers:	56

        Vehicle ID:	p1G1PC5SB8D722932
        Make/Model:	Chevrolet Express Passenger
   Last Inspection:	2009/7/16
    Current Status:	a
   Max. Passengers:	15

        Vehicle ID:	i1G1PC5SB8D724822
        Make/Model:	Chevrolet Impala
   Last Inspection:	2012/10/14
    Current Status:	s

        Vehicle ID:	c1G1PC5SB8E712333
        Make/Model:	Chevrolet Silverado 3500
   Last Inspection:	2007/5/25
    Current Status:	s
      Max. Payload:	2.88 tons

        Vehicle ID:	c1G1PC5SB8E727386
        Make/Model:	Dodge Ram 2500
   Last Inspection:	2007/3/3
    Current Status:	a
      Max. Payload:	1.53 tons

        Vehicle ID:	i1G1PC5SB9D720514
        Make/Model:	Ford  EcoSport
   Last Inspection:	2006/6/22
    Current Status:	s

        Vehicle ID:	c1G1PC5SB9D725090
        Make/Model:	Ford  Transit 350HD
   Last Inspection:	2011/7/3
    Current Status:	s
      Max. Payload:	2.33 tons

        Vehicle ID:	p1G1PC5SB9D727092
        Make/Model:	Dodge Grand Caravan
   Last Inspection:	2006/12/6
    Current Status:	s
   Max. Passengers:	7

        Vehicle ID:	p1G1PC5SB9D729990
        Make/Model:	Chevrolet Express Passenger
   Last Inspection:	2013/9/11
    Current Status:	s
   Max. Passengers:	15

        Vehicle ID:	i1G1PC5SB9E719716
        Make/Model:	Ford  Mustang
   Last Inspection:	2006/9/16
    Current Status:	s

        Vehicle ID:	i1G1PC5SB9E721410
        Make/Model:	Chevrolet Impala
   Last Inspection:	2006/8/17
    Current Status:	s

        Vehicle ID:	c1G1PC5SB9E730227
        Make/Model:	Ford  F 250
   Last Inspection:	2015/7/14
    Current Status:	a
      Max. Payload:	1.9 tons

        Vehicle ID:	i1G1PC5SB9E731422
        Make/Model:	Dodge Charger
   Last Inspection:	2013/10/3
    Current Status:	a

        Vehicle ID:	p1G1PC5SB9F716616
        Make/Model:	Temsa TS45
   Last Inspection:	2006/1/10
    Current Status:	s
   Max. Passengers:	56

        Vehicle ID:	c1G1PC5SBXD715852
        Make/Model:	Ford  F 150
   Last Inspection:	2011/8/1
    Current Status:	s
      Max. Payload:	3.04 tons

        Vehicle ID:	c1G1PC5SBXD717448
        Make/Model:	Dodge Ram 2500
   Last Inspection:	2009/1/8
    Current Status:	s
      Max. Payload:	1.53 tons

        Vehicle ID:	c1G1PC5SBXE722114
        Make/Model:	Dodge Ram 2500
   Last Inspection:	2017/9/19
    Current Status:	m
      Max. Payload:	1.53 tons

        Vehicle ID:	p1G1PC5SBXE725709
        Make/Model:	Chevrolet Express Passenger
   Last Inspection:	2009/4/5
    Current Status:	s
   Max. Passengers:	15

        Vehicle ID:	c1G1PC5SBXF716012
        Make/Model:	Dodge Ram 3500
   Last Inspection:	2007/8/18
    Current Status:	s
      Max. Payload:	2.04 tons

        Vehicle ID:	i1G1PC5SG2G720522
        Make/Model:	Chevrolet Malibu
   Last Inspection:	2009/9/2
    Current Status:	s

        Vehicle ID:	c1G1PC5SG6G714013
        Make/Model:	Chevrolet Silverado 3500
   Last Inspection:	2007/10/17
    Current Status:	s
      Max. Payload:	2.88 tons

        Vehicle ID:	i1G1PC5SG6G721725
        Make/Model:	Ford  Mustang
   Last Inspection:	2014/5/22
    Current Status:	s

        Vehicle ID:	p1G1PC5SG7G719317
        Make/Model:	Dodge Grand Caravan
   Last Inspection:	2017/12/18
    Current Status:	s
   Max. Passengers:	7

        Vehicle ID:	p1G1PC5SG8G713885
        Make/Model:	Chevrolet Express Passenger
   Last Inspection:	2008/5/26
    Current Status:	s
   Max. Passengers:	15

        Vehicle ID:	p1G1PC5SGXG714122
        Make/Model:	Chevrolet Express Passenger
   Last Inspection:	2009/9/11
    Current Status:	s
   Max. Passengers:	15

        Vehicle ID:	p1G1PC5SH0C724465
        Make/Model:	Freightliner CT Coachworks
   Last Inspection:	2017/8/23
    Current Status:	s
   Max. Passengers:	56

        Vehicle ID:	i1G1PC5SH1C713541
        Make/Model:	Ford  Mustang
   Last Inspection:	2006/4/19
    Current Status:	a

        Vehicle ID:	c1G1PC5SH1C733233
        Make/Model:	Ford  F 250
   Last Inspection:	2008/5/7
    Current Status:	s
      Max. Payload:	1.9 tons

        Vehicle ID:	c1G1PC5SH2C714814
        Make/Model:	Dodge Ram 2500
   Last Inspection:	2006/3/14
    Current Status:	s
      Max. Payload:	1.53 tons

        Vehicle ID:	i1G1PC5SH2C721834
        Make/Model:	Chevrolet Impala
   Last Inspection:	2011/9/26
    Current Status:	s

        Vehicle ID:	c1G1PC5SH3B717220
        Make/Model:	Ford  F 250
   Last Inspection:	2007/12/6
    Current Status:	s
      Max. Payload:	1.9 tons

        Vehicle ID:	i1G1PC5SH4B719105
        Make/Model:	Chevrolet Impala
   Last Inspection:	2011/9/22
    Current Status:	s

        Vehicle ID:	i1G1PC5SH4B723385
        Make/Model:	Dodge Demon
   Last Inspection:	2009/10/16
    Current Status:	m

        Vehicle ID:	p1G1PC5SH4C728798
        Make/Model:	Dodge Grand Caravan
   Last Inspection:	2013/1/19
    Current Status:	s
   Max. Passengers:	7

        Vehicle ID:	i1G1PC5SH5C721049
        Make/Model:	Dodge Demon
   Last Inspection:	2016/2/22
    Current Status:	a

        Vehicle ID:	p1G1PC5SH6C720283
        Make/Model:	Chevrolet Express Passenger
   Last Inspection:	2015/7/21
    Current Status:	a
   Max. Passengers:	15

        Vehicle ID:	i1G1PC5SH7C720647
        Make/Model:	Chevrolet Impala
   Last Inspection:	2007/8/13
    Current Status:	s

        Vehicle ID:	c1G1PC5SH7C728985
        Make/Model:	Ford  Super Duty 450 XL
   Last Inspection:	2012/10/4
    Current Status:	s
      Max. Payload:	3.82 tons

        Vehicle ID:	c1G1PC5SH7C729085
        Make/Model:	Ford  F 250
   Last Inspection:	2007/10/20
    Current Status:	a
      Max. Payload:	1.9 tons

        Vehicle ID:	p1G1PC5SH7C731396
        Make/Model:	Chevrolet Express Passenger
   Last Inspection:	2010/10/5
    Current Status:	s
   Max. Passengers:	15

        Vehicle ID:	i1G1PC5SH8C715577
        Make/Model:	Ford  EcoSport
   Last Inspection:	2012/5/17
    Current Status:	m

        Vehicle ID:	i1G1PC5SH8G715479
        Make/Model:	Ford  Mustang
   Last Inspection:	2009/1/8
    Current Status:	s

        Vehicle ID:	c1G1PC5SH9B714062
        Make/Model:	Ford  Super Duty 450 XL
   Last Inspection:	2007/6/20
    Current Status:	s
      Max. Payload:	3.82 tons

        Vehicle ID:	p1G1PC5SH9B715397
        Make/Model:	Dodge Grand Caravan
   Last Inspection:	2017/11/6
    Current Status:	a
   Max. Passengers:	7

        Vehicle ID:	p1G1PC5SH9C724315
        Make/Model:	Ford  XL Passenger
   Last Inspection:	2013/2/25
    Current Status:	s
   Max. Passengers:	15

        Vehicle ID:	p1G1PC5SH9G716841
        Make/Model:	Dodge Grand Caravan
   Last Inspection:	2014/3/22
    Current Status:	s
   Max. Passengers:	7

        Vehicle ID:	i1G1PC5SHXC713937
        Make/Model:	Ford  EcoSport
   Last Inspection:	2008/7/17
    Current Status:	s

        Vehicle ID:	i1G1PC5SHXC727863
        Make/Model:	Ford  Focus
   Last Inspection:	2016/6/16
    Current Status:	s

        Vehicle ID:	p1G1PD5SB0D716542
        Make/Model:	Dodge Grand Caravan
   Last Inspection:	2007/1/23
    Current Status:	m
   Max. Passengers:	7

        Vehicle ID:	p1G1PD5SB0D721211
        Make/Model:	Ford  XL Passenger
   Last Inspection:	2017/11/9
    Current Status:	s
   Max. Passengers:	15

        Vehicle ID:	p1G1PD5SB3E722704
        Make/Model:	Chevrolet Express Passenger
   Last Inspection:	2007/5/11
    Current Status:	s
   Max. Passengers:	15

        Vehicle ID:	i1G1PD5SH1C723640
        Make/Model:	Chevrolet Malibu
   Last Inspection:	2007/11/1
    Current Status:	s

        Vehicle ID:	p1G1PD5SH6C713720
        Make/Model:	Dodge Grand Caravan
   Last Inspection:	2014/6/21
    Current Status:	s
   Max. Passengers:	7

        Vehicle ID:	p1G1PD5SH7C731125
        Make/Model:	Chevrolet Express Passenger
   Last Inspection:	2014/2/7
    Current Status:	s
   Max. Passengers:	15

        Vehicle ID:	c1G1PD5SH8C735254
        Make/Model:	Dodge Ram 2500
   Last Inspection:	2016/5/26
    Current Status:	s
      Max. Payload:	1.53 tons

        Vehicle ID:	p1G1PD5SH9B730671
        Make/Model:	Dodge Grand Caravan
   Last Inspection:	2017/12/9
    Current Status:	a
   Max. Passengers:	7

        Vehicle ID:	p1G1PE55B66722353
        Make/Model:	Dodge Grand Caravan
   Last Inspection:	2012/4/20
    Current Status:	s
   Max. Passengers:	7

        Vehicle ID:	i1G1PE5S91B729594
        Make/Model:	Chevrolet Malibu
   Last Inspection:	2006/10/9
    Current Status:	s

        Vehicle ID:	c1G1PE5S99B728356
        Make/Model:	Ford  Super Duty 350 XL
   Last Inspection:	2011/7/1
    Current Status:	s
      Max. Payload:	3.82 tons

        Vehicle ID:	p1G1PE5SB0F715608
        Make/Model:	Ford  XL Passenger
   Last Inspection:	2013/10/10
    Current Status:	s
   Max. Passengers:	15

        Vehicle ID:	c1G1PE5SB0G713874
        Make/Model:	Chevrolet Silverado 2500
   Last Inspection:	2016/10/10
    Current Status:	a
      Max. Payload:	1.62 tons

        Vehicle ID:	c1G1PE5SB0G715697
        Make/Model:	Ford  F 150
   Last Inspection:	2010/6/4
    Current Status:	s
      Max. Payload:	3.04 tons

        Vehicle ID:	p1G1PE5SB0G721372
        Make/Model:	Ford  XL Passenger
   Last Inspection:	2007/3/26
    Current Status:	s
   Max. Passengers:	15

        Vehicle ID:	p1G1PE5SB1E739446
        Make/Model:	Dodge Grand Caravan
   Last Inspection:	2006/2/22
    Current Status:	s
   Max. Passengers:	7

        Vehicle ID:	c1G1PE5SB1F717048
        Make/Model:	Ford  F 250
   Last Inspection:	2009/5/15
    Current Status:	s
      Max. Payload:	1.9 tons

        Vehicle ID:	c1G1PE5SB1F720800
        Make/Model:	Ford  Transit 350HD
   Last Inspection:	2008/7/11
    Current Status:	m
      Max. Payload:	2.33 tons

        Vehicle ID:	i1G1PE5SB1G718116
        Make/Model:	Ford  Mustang
   Last Inspection:	2017/11/20
    Current Status:	s

        Vehicle ID:	c1G1PE5SB2D717597
        Make/Model:	Ford  F 250
   Last Inspection:	2014/9/1
    Current Status:	s
      Max. Payload:	1.9 tons

        Vehicle ID:	i1G1PE5SB3E738212
        Make/Model:	Ford  Mustang
   Last Inspection:	2011/6/25
    Current Status:	s

        Vehicle ID:	p1G1PE5SB3G721439
        Make/Model:	Ford  Transit Connect
   Last Inspection:	2017/2/26
    Current Status:	s
   Max. Passengers:	7

        Vehicle ID:	p1G1PE5SB3G722840
        Make/Model:	Chevrolet Express Passenger
   Last Inspection:	2015/4/22
    Current Status:	s
   Max. Passengers:	15

        Vehicle ID:	p1G1PE5SB4G713995
        Make/Model:	Dodge Grand Caravan
   Last Inspection:	2008/6/21
    Current Status:	s
   Max. Passengers:	7

        Vehicle ID:	i1G1PE5SB4G721075
        Make/Model:	Ford  Mustang
   Last Inspection:	2007/4/2
    Current Status:	s

        Vehicle ID:	i1G1PE5SB5D723488
        Make/Model:	Ford  Mustang
   Last Inspection:	2009/12/4
    Current Status:	s

        Vehicle ID:	i1G1PE5SB5E728404
        Make/Model:	Dodge Charger
   Last Inspection:	2017/4/24
    Current Status:	a

        Vehicle ID:	p1G1PE5SB5F711204
        Make/Model:	Ford  XL Passenger
   Last Inspection:	2009/10/17
    Current Status:	s
   Max. Passengers:	15

        Vehicle ID:	i1G1PE5SB5F724786
        Make/Model:	Dodge Demon
   Last Inspection:	2006/9/23
    Current Status:	s

        Vehicle ID:	c1G1PE5SB5G710452
        Make/Model:	Ford  Transit 350HD
   Last Inspection:	2011/7/25
    Current Status:	s
      Max. Payload:	2.33 tons

        Vehicle ID:	c1G1PE5SB5G716167
        Make/Model:	Dodge Ram 2500
   Last Inspection:	2007/1/20
    Current Status:	a
      Max. Payload:	1.53 tons

        Vehicle ID:	i1G1PE5SB6E731866
        Make/Model:	Dodge Demon
   Last Inspection:	2012/10/7
    Current Status:	s

        Vehicle ID:	i1G1PE5SB6F718584
        Make/Model:	Ford  Focus
   Last Inspection:	2016/2/4
    Current Status:	s

        Vehicle ID:	c1G1PE5SB7G719999
        Make/Model:	Dodge Ram 2500
   Last Inspection:	2009/7/1
    Current Status:	s
      Max. Payload:	1.53 tons

        Vehicle ID:	c1G1PE5SB8E726746
        Make/Model:	Dodge Ram 3500
   Last Inspection:	2015/8/20
    Current Status:	a
      Max. Payload:	2.04 tons

        Vehicle ID:	i1G1PE5SB8G710138
        Make/Model:	Dodge Challenger
   Last Inspection:	2011/1/4
    Current Status:	s

        Vehicle ID:	i1G1PE5SB8G711577
        Make/Model:	Ford  Mustang
   Last Inspection:	2011/3/1
    Current Status:	s

        Vehicle ID:	c1G1PE5SB8G716656
        Make/Model:	Chevrolet Silverado 3500
   Last Inspection:	2014/10/23
    Current Status:	s
      Max. Payload:	2.88 tons

        Vehicle ID:	p1G1PE5SB9F711587
        Make/Model:	Ford  XL Passenger
   Last Inspection:	2010/12/1
    Current Status:	s
   Max. Passengers:	15

        Vehicle ID:	i1G1PE5SB9F718154
        Make/Model:	Dodge Demon
   Last Inspection:	2014/12/2
    Current Status:	a

        Vehicle ID:	p1G1PE5SBIG718717
        Make/Model:	Dodge Grand Caravan
   Last Inspection:	2017/8/21
    Current Status:	m
   Max. Passengers:	7

        Vehicle ID:	c1G1PE5SBXE738278
        Make/Model:	Dodge Ram 2500
   Last Inspection:	2008/5/26
    Current Status:	s
      Max. Payload:	1.53 tons

        Vehicle ID:	p1G1PE5SBXF717215
        Make/Model:	Dodge Grand Caravan
   Last Inspection:	2007/4/22
    Current Status:	s
   Max. Passengers:	7

        Vehicle ID:	i1G1PE5SBXF725845
        Make/Model:	Ford  Focus
   Last Inspection:	2012/9/28
    Current Status:	s

        Vehicle ID:	p1G1PE5SBXF727418
        Make/Model:	Chevrolet Express Passenger
   Last Inspection:	2013/8/23
    Current Status:	s
   Max. Passengers:	15

        Vehicle ID:	c1G1PE5SBXG713014
        Make/Model:	Chevrolet Cargo Express
   Last Inspection:	2008/4/17
    Current Status:	a
      Max. Payload:	2.33 tons

        Vehicle ID:	i1G1PE5SBXG715673
        Make/Model:	Chevrolet Malibu
   Last Inspection:	2017/12/15
    Current Status:	a

        Vehicle ID:	i1G1PE5SBXG719174
        Make/Model:	Dodge Demon
   Last Inspection:	2010/4/4
    Current Status:	s

        Vehicle ID:	c1G1PE5SBXG719835
        Make/Model:	Chevrolet Cargo Express
   Last Inspection:	2010/12/23
    Current Status:	s
      Max. Payload:	2.33 tons

        Vehicle ID:	i1G1PE5SC0C714824
        Make/Model:	Dodge Journey
   Last Inspection:	2015/12/28
    Current Status:	s

        Vehicle ID:	p1G1PESSB1E726005
        Make/Model:	Dodge Grand Caravan
   Last Inspection:	2010/5/18
    Current Status:	s
   Max. Passengers:	7

        Vehicle ID:	i1G1PF5598B718370
        Make/Model:	Dodge Demon
   Last Inspection:	2007/8/2
    Current Status:	s

        Vehicle ID:	i1G1PF5S92B710937
        Make/Model:	Chevrolet Malibu
   Last Inspection:	2006/6/10
    Current Status:	s

        Vehicle ID:	c1G1PF5S92B716632
        Make/Model:	Chevrolet Silverado 3500
   Last Inspection:	2015/4/8
    Current Status:	s
      Max. Payload:	2.88 tons

        Vehicle ID:	i1G1PF5S94B728208
        Make/Model:	Dodge Demon
   Last Inspection:	2006/5/27
    Current Status:	s

        Vehicle ID:	c1G1PF5S95B717349
        Make/Model:	Ford  Super Duty 350 XL
   Last Inspection:	2017/8/3
    Current Status:	s
      Max. Payload:	3.82 tons

        Vehicle ID:	p1G1PF5S95B720062
        Make/Model:	Chevrolet Express Passenger
   Last Inspection:	2009/2/21
    Current Status:	a
   Max. Passengers:	15

        Vehicle ID:	p1G1PF5S95B729610
        Make/Model:	Chevrolet Express Passenger
   Last Inspection:	2014/8/21
    Current Status:	m
   Max. Passengers:	15

        Vehicle ID:	i1G1PF5S99B721784
        Make/Model:	Chevrolet Impala
   Last Inspection:	2010/5/1
    Current Status:	s

        Vehicle ID:	c1G1PF5S99B723867
        Make/Model:	Dodge Ram 2500
   Last Inspection:	2017/2/3
    Current Status:	s
      Max. Payload:	1.53 tons

        Vehicle ID:	p1G1PF5SB3G713356
        Make/Model:	Ford  XL Passenger
   Last Inspection:	2013/4/13
    Current Status:	s
   Max. Passengers:	15

        Vehicle ID:	p1G1PF5SB7G712212
        Make/Model:	Chevrolet Express Passenger
   Last Inspection:	2014/6/6
    Current Status:	s
   Max. Passengers:	15

        Vehicle ID:	i1G1PF5SB9G714522
        Make/Model:	Dodge Challenger
   Last Inspection:	2011/11/7
    Current Status:	a

        Vehicle ID:	i1G1PF5SC1C733638
        Make/Model:	Ford  Mustang
   Last Inspection:	2011/4/20
    Current Status:	a

        Vehicle ID:	i1G1PF5SC1C734475
        Make/Model:	Chevrolet Impala
   Last Inspection:	2009/2/7
    Current Status:	s

        Vehicle ID:	i1G1PF5SC1C738390
        Make/Model:	Chevrolet Malibu
   Last Inspection:	2017/10/18
    Current Status:	s

        Vehicle ID:	p1G1PF5SC2C719145
        Make/Model:	Dodge Grand Caravan
   Last Inspection:	2017/3/1
    Current Status:	a
   Max. Passengers:	7

        Vehicle ID:	i1G1PF5SC3C738542
        Make/Model:	Ford  Mustang
   Last Inspection:	2012/12/14
    Current Status:	s

        Vehicle ID:	p1G1PF5SC4C713591
        Make/Model:	Chevrolet Express Passenger
   Last Inspection:	2015/1/23
    Current Status:	s
   Max. Passengers:	15

        Vehicle ID:	c1G1PF5SC4C723952
        Make/Model:	Chevrolet Silverado 3500
   Last Inspection:	2008/1/9
    Current Status:	s
      Max. Payload:	2.88 tons

        Vehicle ID:	i1G1PF5SC5C725421
        Make/Model:	Chevrolet Impala
   Last Inspection:	2013/7/22
    Current Status:	s

        Vehicle ID:	p1G1PF5SC6C732584
        Make/Model:	Ford  XL Passenger
   Last Inspection:	2014/6/28
    Current Status:	m
   Max. Passengers:	15

        Vehicle ID:	c1G1PF5SC9C716298
        Make/Model:	Ford  Transit 350HD
   Last Inspection:	2012/3/26
    Current Status:	s
      Max. Payload:	2.33 tons

        Vehicle ID:	p1G1PF5SC9C726326
        Make/Model:	Chevrolet Express Passenger
   Last Inspection:	2010/6/11
    Current Status:	a
   Max. Passengers:	15

        Vehicle ID:	i1G1PF5SC9C739839
        Make/Model:	Ford  Explorer
   Last Inspection:	2009/6/23
    Current Status:	m

        Vehicle ID:	i1G1PF5SCXC726200
        Make/Model:	Dodge Challenger
   Last Inspection:	2012/12/3
    Current Status:	s

        Vehicle ID:	c1G1PG5S92B711640
        Make/Model:	Ford  F 250
   Last Inspection:	2014/11/18
    Current Status:	s
      Max. Payload:	1.9 tons

        Vehicle ID:	p1G1PG5S95B725842
        Make/Model:	Dodge Grand Caravan
   Last Inspection:	2017/3/3
    Current Status:	s
   Max. Passengers:	7

        Vehicle ID:	p1G1PG5S96B719654
        Make/Model:	Ford  XL Passenger
   Last Inspection:	2017/5/4
    Current Status:	m
   Max. Passengers:	15

        Vehicle ID:	i1G1PG5SB0F721851
        Make/Model:	Ford  Mustang
   Last Inspection:	2008/8/15
    Current Status:	s

        Vehicle ID:	c1G1PG5SB1F719198
        Make/Model:	Dodge Ram 2500
   Last Inspection:	2008/1/21
    Current Status:	s
      Max. Payload:	1.53 tons

        Vehicle ID:	p1G1PG5SB3E733749
        Make/Model:	Dodge Grand Caravan
   Last Inspection:	2016/5/20
    Current Status:	s
   Max. Passengers:	7

        Vehicle ID:	i1G1PG5SB3F729269
        Make/Model:	Dodge Journey
   Last Inspection:	2010/12/27
    Current Status:	s

        Vehicle ID:	c1G1PG5SB4D728784
        Make/Model:	Dodge Ram 2500
   Last Inspection:	2011/8/24
    Current Status:	s
      Max. Payload:	1.53 tons

        Vehicle ID:	p1G1PG5SB4F729309
        Make/Model:	Dodge Grand Caravan
   Last Inspection:	2015/3/23
    Current Status:	s
   Max. Passengers:	7

        Vehicle ID:	i1G1PG5SB5E734129
        Make/Model:	Dodge Challenger
   Last Inspection:	2013/6/9
    Current Status:	s

        Vehicle ID:	i1G1PG5SB6D712146
        Make/Model:	Chevrolet Impala
   Last Inspection:	2007/4/5
    Current Status:	s

        Vehicle ID:	i1G1PG5SB6D713009
        Make/Model:	Ford  EcoSport
   Last Inspection:	2006/4/3
    Current Status:	s

        Vehicle ID:	i1G1PG5SB7F715640
        Make/Model:	Chevrolet Impala
   Last Inspection:	2011/12/9
    Current Status:	s

        Vehicle ID:	p1G1PG5SB7F728956
        Make/Model:	Ford  XL Passenger
   Last Inspection:	2016/6/27
    Current Status:	s
   Max. Passengers:	15

        Vehicle ID:	i1G1PG5SB8F712174
        Make/Model:	Ford  EcoSport
   Last Inspection:	2008/12/8
    Current Status:	m

        Vehicle ID:	c1G1PG5SC3C723587
        Make/Model:	Chevrolet Silverado 3500
   Last Inspection:	2017/10/12
    Current Status:	s
      Max. Payload:	2.88 tons

        Vehicle ID:	i1G1PG5SC3C726859
        Make/Model:	Ford  EcoSport
   Last Inspection:	2017/11/20
    Current Status:	s

        Vehicle ID:	i1G1PG5SC6C712428
        Make/Model:	Ford  EcoSport
   Last Inspection:	2006/2/25
    Current Status:	s

        Vehicle ID:	p1G1PG5SC8C717490
        Make/Model:	Ford  XL Passenger
   Last Inspection:	2007/6/8
    Current Status:	s
   Max. Passengers:	15

        Vehicle ID:	i1G1PG5SC8C740747
        Make/Model:	Ford  Mustang
   Last Inspection:	2014/11/23
    Current Status:	s

        Vehicle ID:	p1G1PG5SC9C714913
        Make/Model:	Ford  XL Passenger
   Last Inspection:	2014/7/16
    Current Status:	s
   Max. Passengers:	15

        Vehicle ID:	i1G1PG5SC9C716240
        Make/Model:	Dodge Journey
   Last Inspection:	2012/5/4
    Current Status:	s

        Vehicle ID:	p1G1PG5SC9C723379
        Make/Model:	Ford  XL Passenger
   Last Inspection:	2009/11/27
    Current Status:	s
   Max. Passengers:	15

        Vehicle ID:	p1G1PH5S92B723483
        Make/Model:	Ford  XL Passenger
   Last Inspection:	2010/12/5
    Current Status:	s
   Max. Passengers:	15

        Vehicle ID:	p1G1PH5S93B714306
        Make/Model:	Dodge Grand Caravan
   Last Inspection:	2011/10/17
    Current Status:	m
   Max. Passengers:	7

        Vehicle ID:	p1G1PH5S96B728989
        Make/Model:	Chevrolet Express Passenger
   Last Inspection:	2009/6/10
    Current Status:	s
   Max. Passengers:	15

        Vehicle ID:	p1G1PH5S97B721214
        Make/Model:	Chevrolet Express Passenger
   Last Inspection:	2007/11/4
    Current Status:	s
   Max. Passengers:	15

        Vehicle ID:	p1G1PH5S97B728300
        Make/Model:	Temsa TS45
   Last Inspection:	2017/6/24
    Current Status:	s
   Max. Passengers:	56

        Vehicle ID:	i1G1PH5S9XB721551
        Make/Model:	Ford  Mustang
   Last Inspection:	2009/2/6
    Current Status:	s

        Vehicle ID:	p1G1PH5SB6D728087
        Make/Model:	Ford  XL Passenger
   Last Inspection:	2017/10/22
    Current Status:	s
   Max. Passengers:	15

        Vehicle ID:	p1G1PH5SC4C718870
        Make/Model:	Dodge Grand Caravan
   Last Inspection:	2010/9/26
    Current Status:	m
   Max. Passengers:	7

        Vehicle ID:	i1G1PH5SC4C732047
        Make/Model:	Dodge Challenger
   Last Inspection:	2015/6/1
    Current Status:	m

        Vehicle ID:	p1G1PH5SC4C732854
        Make/Model:	Temsa TS45
   Last Inspection:	2013/4/19
    Current Status:	s
   Max. Passengers:	56

        Vehicle ID:	c1G1PH5SC4C739314
        Make/Model:	Dodge Ram 2500
   Last Inspection:	2007/10/3
    Current Status:	s
      Max. Payload:	1.53 tons

        Vehicle ID:	p1G1PH5SC6C718986
        Make/Model:	Chevrolet Express Passenger
   Last Inspection:	2012/1/27
    Current Status:	a
   Max. Passengers:	15

        Vehicle ID:	i1G1PH5SC9C712476
        Make/Model:	Ford  Mustang
   Last Inspection:	2011/8/3
    Current Status:	s

        Vehicle ID:	p1G1PH5SCXC713074
        Make/Model:	Temsa TS45
   Last Inspection:	2009/4/23
    Current Status:	s
   Max. Passengers:	56

        Vehicle ID:	i1G1PJ5S96B729515
        Make/Model:	Ford  Explorer
   Last Inspection:	2017/2/15
    Current Status:	a

        Vehicle ID:	i1G1PJ5S99B722267
